ModelFile;PositionX;PositionY;PositionZ;RotationX;RotationY;RotationZ;RotationW;ScaleFactor;ModelId;Type;FileDataID;DoodadSetIndexes;DoodadSetNames
..\..\world\azeroth\elwynn\passivedoodads\trees\elwynntreecanopy03.obj;17241.5;78.14985656738281;26078.109375;0;232;0;;1.21484375;10508;m2;189929;0;
..\..\world\azeroth\elwynn\passivedoodads\trees\elwynntreecanopy03.obj;17354.111328125;78.28116607666016;25951.22265625;0;228;0;;1.189453125;10303;m2;189929;0;
..\..\world\azeroth\elwynn\passivedoodads\trees\elwynntreecanopy03.obj;17496.8046875;66.49597930908203;25965.25;0;283;0;;1.224609375;10315;m2;189929;0;
..\..\world\azeroth\elwynn\passivedoodads\trees\elwynntreecanopy03.obj;17117.111328125;84.78189849853516;26188.666015625;0;158;0;;1.0244140625;12737;m2;189929;0;
..\..\world\azeroth\elwynn\passivedoodads\trees\elwynntreecanopy03.obj;17342.75;79.75377655029297;25866.6953125;0;69;0;;1;10192;m2;189929;0;
..\..\world\azeroth\elwynn\passivedoodads\trees\elwynntreecanopy03.obj;17240.73828125;75.41331481933594;26130.96875;0;74;0;;1.0390625;10556;m2;189929;0;
..\..\world\azeroth\elwynn\passivedoodads\trees\elwynntreecanopy03.obj;17223.33203125;83.0692367553711;25864.0546875;0;309;0;;0.8544921875;10134;m2;189929;0;
..\..\world\azeroth\elwynn\passivedoodads\trees\elwynntreecanopy03.obj;17379.05859375;84.85658264160156;25747.38671875;0;54.60369873046875;0;;0.775390625;64965;m2;189929;0;
..\..\world\azeroth\elwynn\passivedoodads\trees\elwynntreecanopy02.obj;17489.611328125;74.67332458496094;26140.109375;0;309;0;;1.1943359375;12731;m2;189928;0;
..\..\world\azeroth\elwynn\passivedoodads\trees\elwynntreecanopy03.obj;17526.71875;73.7977523803711;26098.30078125;0;28.5433349609375;0;;0.7509765625;65017;m2;189929;0;
..\..\world\azeroth\elwynn\passivedoodads\trees\elwynntreecanopy03.obj;17140.693359375;90.21399688720703;25785.83203125;0;347;0;;0.8447265625;10070;m2;189929;0;
..\..\world\azeroth\elwynn\passivedoodads\trees\elwynntreecanopy02.obj;17464.0546875;69.08678436279297;26001.359375;0;40;0;;1.1591796875;10420;m2;189928;0;
..\..\world\azeroth\elwynn\passivedoodads\trees\elwynntreecanopy02.obj;17322.83203125;82.19921112060547;25913.58203125;0;217;0;;1.14453125;10230;m2;189928;0;
..\..\world\azeroth\elwynn\passivedoodads\trees\elwynntreecanopy02.obj;17490.943359375;65.30859375;26004.8046875;0;329;0;;1.14453125;10428;m2;189928;0;
..\..\world\azeroth\elwynn\passivedoodads\trees\elwynntreecanopy04.obj;17302.33203125;85.64969635009766;25809.58203125;0;7;0;;1.2099609375;10107;m2;189930;0;
..\..\world\azeroth\elwynn\passivedoodads\trees\elwynntreecanopy04.obj;17459.720703125;73.5602035522461;26084.25;0;1;0;;1.2041015625;10543;m2;189930;0;
..\..\world\azeroth\elwynn\passivedoodads\trees\elwynntreecanopy03.obj;17240.638671875;77.9932632446289;26038;0;275;0;;0.869140625;10448;m2;189929;0;
..\..\world\azeroth\elwynn\passivedoodads\waterfall\elwynntallwaterfall01.obj;17475.943359375;50.02023696899414;25808.7578125;-11.5;318;-2.999999761581421;;1;10125;m2;189959;0;
..\..\world\azeroth\elwynn\passivedoodads\trees\elwynntreecanopy03.obj;17117.9375;86.96353912353516;25972.64453125;0;356.5;0;;0.8798828125;65010;m2;189929;0;
..\..\world\azeroth\elwynn\passivedoodads\trees\elwynntreecanopy02.obj;17155.5546875;86.80575561523438;25845.638671875;0;162;0;;1.2041015625;10126;m2;189928;0;
..\..\world\azeroth\elwynn\passivedoodads\trees\elwynntreecanopy02.obj;17419.720703125;72.8809585571289;26018.33203125;0;54;0;;1.07421875;10416;m2;189928;0;
..\..\world\azeroth\elwynn\passivedoodads\trees\elwynntreecanopy01.obj;17318.673828125;73.40507507324219;26114.1953125;0;142;0;;1.0595703125;10567;m2;189927;0;
..\..\world\azeroth\elwynn\passivedoodads\trees\elwynntreecanopy02.obj;17087.267578125;88.92613220214844;26141.21875;0;26;0;;1.0947265625;12685;m2;189928;0;
..\..\world\azeroth\elwynn\passivedoodads\trees\elwynntreecanopy04.obj;17331.943359375;73.35639190673828;26160.359375;0;336;0;;1.1396484375;12703;m2;189930;0;
..\..\world\azeroth\elwynn\passivedoodads\trees\elwynntreecanopy04.obj;17335.470703125;73.54358673095703;26140.98828125;0;24;0;;1.134765625;12705;m2;189930;0;
..\..\world\azeroth\elwynn\passivedoodads\trees\elwynntreecanopy04.obj;17413.9609375;75.49392700195312;26082.529296875;0;24;0;;1.134765625;10531;m2;189930;0;
..\..\world\azeroth\elwynn\passivedoodads\trees\elwynntreecanopy04.obj;17237.958984375;91.25100708007812;25736.81640625;0;120.85330200195312;0;;1.1337890625;64957;m2;189930;0;
..\..\world\azeroth\elwynn\passivedoodads\trees\elwynntreecanopy04.obj;17193.83203125;80.96773529052734;25903.638671875;0;191;0;;1.1298828125;10213;m2;189930;0;
..\..\world\azeroth\elwynn\passivedoodads\trees\elwynntreecanopy01.obj;17499.220703125;71.49824523925781;26122.22265625;0;281;0;;1.224609375;10602;m2;189927;0;
..\..\world\azeroth\elwynn\passivedoodads\trees\elwynntreecanopy04.obj;17312.443359375;82.66462707519531;25898.08203125;0;129;0;;1.125;10184;m2;189930;0;
..\..\world\azeroth\elwynn\passivedoodads\trees\elwynntreecanopy03.obj;17610.34375;145.78665161132812;25618.013671875;0;0;0;;0.8798828125;362057;m2;189929;0;
..\..\world\azeroth\elwynn\passivedoodads\trees\elwynntreecanopy04.obj;17148.0546875;85.6073989868164;25898.138671875;0;319;0;;1.119140625;10176;m2;189930;0;
..\..\world\azeroth\elwynn\passivedoodads\trees\elwynntreecanopy04.obj;17290.58203125;82.70591735839844;25899.6953125;0;319;0;;1.08984375;10182;m2;189930;0;
..\..\world\azeroth\elwynn\passivedoodads\trees\elwynntreecanopy02.obj;17177.478515625;86.47339630126953;26068.95703125;0;329;0;;1.0146484375;10502;m2;189928;0;
..\..\world\azeroth\elwynn\passivedoodads\trees\elwynntreecanopy04.obj;17449.416015625;69.19056701660156;25947.5;0;208;0;;1.0546875;10311;m2;189930;0;
..\..\world\azeroth\elwynn\passivedoodads\trees\elwynntreecanopy03.obj;17035.232421875;103.26531982421875;25865.984375;0;192.47308349609375;0;;0.6875;64979;m2;189929;0;
..\..\world\azeroth\elwynn\passivedoodads\trees\elwynntreecanopy04.obj;17333.888671875;81.71124267578125;25907.109375;0;134;0;;1.0341796875;10232;m2;189930;0;
..\..\world\azeroth\elwynn\passivedoodads\trees\elwynntreecanopy01.obj;17191.943359375;86.02670288085938;25781.609375;0;170;0;;1.119140625;10074;m2;189927;0;
..\..\world\azeroth\elwynn\passivedoodads\trees\elwynntreecanopy02.obj;17637.064453125;145.23910522460938;25700.794921875;0;291.4999694824219;0;;1;214340;m2;189928;0;
..\..\world\azeroth\elwynn\passivedoodads\trees\elwynntreecanopy03.obj;17584.349609375;152.0637969970703;25739.390625;0;0;0;;0.7890625;214329;m2;189929;0;
..\..\world\azeroth\elwynn\passivedoodads\trees\elwynntreecanopy03.obj;17445;72.3802490234375;26052.5;0;267.9999694824219;0;;0.759765625;10469;m2;189929;0;
..\..\world\azeroth\elwynn\passivedoodads\trees\elwynntreecanopy02.obj;17265.666015625;82.32322692871094;25886.359375;0;282;0;;1.0595703125;10180;m2;189928;0;
..\..\world\azeroth\elwynn\passivedoodads\trees\elwynntreecanopy01.obj;17267.08203125;74.7316665649414;26040.609375;0;70;0;;0.9794921875;10452;m2;189927;0;
..\..\world\azeroth\elwynn\passivedoodads\trees\elwynntreecanopy02.obj;17257.83203125;82.01114654541016;25862.77734375;0;82;0;;1.1044921875;10137;m2;189928;0;
..\..\world\azeroth\elwynn\passivedoodads\trees\elwynntreecanopy01.obj;17303.611328125;73.01725769042969;26132.47265625;0;67;0;;0.9541015625;10568;m2;189927;0;
..\..\world\azeroth\elwynn\passivedoodads\trees\elwynntreecanopy02.obj;17379.3984375;72.94585418701172;25886.201171875;0.49999988079071045;133;-4.5;;0.8544921875;10196;m2;189928;0;
..\..\world\azeroth\elwynn\passivedoodads\trees\elwynntreecanopy01.obj;17461.193359375;72.89659881591797;26112.1953125;0;174;0;;1.1142578125;10592;m2;189927;0;
..\..\world\azeroth\elwynn\passivedoodads\trees\elwynntreecanopy02.obj;17295.166015625;83.9896240234375;25855.33203125;0;179;0;;1.19921875;10148;m2;189928;0;
..\..\world\azeroth\elwynn\passivedoodads\trees\elwynntreecanopy02.obj;17206.970703125;85.9852066040039;25803.109375;0;207;0;;0.9140625;10094;m2;189928;0;
..\..\world\azeroth\elwynn\passivedoodads\trees\elwynntreecanopy01.obj;17307.8046875;79.60526275634766;26004.58203125;0;157;0;;0.9345703125;10406;m2;189927;0;
..\..\world\azeroth\elwynn\passivedoodads\trees\canopylesstree01.obj;17577.322265625;146.4573516845703;25673.5546875;0;0;0;;0.94921875;214331;m2;189919;0;
